horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,transaction_cost_bps,offset_count_non_overlap,n_periods,n_trades_non_overlap,trade_rate_non_overlap,mean_return_non_overlap,volatility_non_overlap,sharpe_non_overlap,hit_rate_non_overlap,total_return_non_overlap,annualized_return_non_overlap,max_drawdown_non_overlap,mean_return_non_overlap_cost_adj,volatility_non_overlap_cost_adj,sharpe_non_overlap_cost_adj,total_return_non_overlap_cost_adj,annualized_return_non_overlap_cost_adj,max_drawdown_non_overlap_cost_adj,mean_return_non_overlap_offset_avg,volatility_non_overlap_offset_avg,sharpe_non_overlap_offset_avg,hit_rate_non_overlap_offset_avg,trade_rate_non_overlap_offset_avg,n_trades_non_overlap_offset_avg,total_return_non_overlap_offset_avg,annualized_return_non_overlap_offset_avg,max_drawdown_non_overlap_offset_avg,mean_return_non_overlap_cost_adj_offset_avg,volatility_non_overlap_cost_adj_offset_avg,sharpe_non_overlap_cost_adj_offset_avg,total_return_non_overlap_cost_adj_offset_avg,annualized_return_non_overlap_cost_adj_offset_avg,max_drawdown_non_overlap_cost_adj_offset_avg,total_return_non_overlap_offset_min,total_return_non_overlap_offset_max,total_return_non_overlap_cost_adj_offset_min,total_return_non_overlap_cost_adj_offset_max,model
1,0.0,0.0,,,0.0,0,0.0,1,144,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
5,0.0,0.0,,,0.0,0,0.0,5,29,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
20,0.0,0.0,,,0.0,0,0.0,20,8,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
30,0.0,0.0,,,0.0,0,0.0,30,5,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
1,0.0022377037813486014,0.01779011831166047,0.12578352443456808,0.5694444444444444,1.0,144,0.0,1,144,144,1.0,0.0023983803502324714,0.017761058341268073,2.1436283246641485,0.5694444444444444,0.380201281253826,0.7575158319778215,0.16129934802827262,0.0023983803502324714,0.017761058341268073,2.1436283246641485,0.380201281253826,0.7575158319778215,0.16129934802827262,0.0023983803502324714,0.017761058341268073,2.1436283246641485,0.5694444444444444,1.0,144.0,0.380201281253826,0.7575158319778215,0.16129934802827262,0.0023983803502324714,0.017761058341268073,2.1436283246641485,0.380201281253826,0.7575158319778215,0.16129934802827262,0.380201281253826,0.380201281253826,0.380201281253826,0.380201281253826,seasonal_naive
5,-0.0016839456333804668,0.039351886873422344,-0.04279199212980503,0.4930555555555556,1.0,144,0.0,5,29,29,1.0,-0.0017875108008843761,0.03693409789294814,-0.34358678125028846,0.5862068965517241,-0.06975231612548372,-0.1180854090993203,0.16148793436326558,-0.0017875108008843761,0.03693409789294814,-0.34358678125028846,-0.06975231612548372,-0.1180854090993203,0.16148793436326558,-0.0009500988693249397,0.038358718050467575,-0.25434439039804524,0.49285714285714277,1.0,28.8,-0.031896670220916176,-0.03480346453358587,0.22185242636262723,-0.0009500988693249397,0.038358718050467575,-0.25434439039804524,-0.031896670220916176,-0.03480346453358587,0.22185242636262723,-0.1761517508535726,0.3251667007733632,-0.1761517508535726,0.3251667007733632,seasonal_naive
20,0.0051861528999223895,0.11597886675833576,0.04471636122060699,0.5486111111111112,1.0,144,0.0,20,8,8,1.0,-0.08871211586498128,0.11537719625085247,-2.7292808574255614,0.125,-0.5586806672055264,-0.7242688063825548,0.5323596534438931,-0.08871211586498128,0.11537719625085247,-2.7292808574255614,-0.5586806672055264,-0.7242688063825548,0.5323596534438931,0.012040892050269567,0.0985025198753952,0.7046251094082832,0.5517857142857142,1.0,7.2,0.09587972691284827,0.2374387401622903,0.1594138995770867,0.012040892050269567,0.0985025198753952,0.7046251094082832,0.09587972691284827,0.2374387401622903,0.1594138995770867,-0.5586806672055264,0.5006358074244093,-0.5586806672055264,0.5006358074244093,seasonal_naive
30,-0.009067187195695523,0.15952387134111867,-0.056839061887525646,0.4652777777777778,1.0,144,0.0,30,5,5,1.0,-0.04472740307024235,0.0386017313726809,-3.358199882341377,0.2,-0.20771341291653078,-0.32372665516692656,0.14476470189947876,-0.04472740307024235,0.0386017313726809,-3.358199882341377,-0.20771341291653078,-0.32372665516692656,0.14476470189947876,0.003268998066306594,0.1357025884743189,-0.4669196717946383,0.46499999999999997,1.0,4.8,0.005778662777036288,0.06878757367197309,0.18706894783769468,0.003268998066306594,0.1357025884743189,-0.4669196717946383,0.005778662777036288,0.06878757367197309,0.18706894783769468,-0.4233242334020888,0.7670847736102846,-0.4233242334020888,0.7670847736102846,seasonal_naive
1,0.0016314401715741649,0.01785592424722151,0.09136688468131393,0.5416666666666666,1.0,144,0.0,1,144,144,1.0,0.0017920867460511042,0.017827391113494233,1.5957744442989956,0.5416666666666666,0.26481692034646476,0.5085107761888217,0.15706527906528833,0.0017920867460511042,0.017827391113494233,1.5957744442989956,0.26481692034646476,0.5085107761888217,0.15706527906528833,0.0017920867460511042,0.017827391113494233,1.5957744442989956,0.5416666666666666,1.0,144.0,0.26481692034646476,0.5085107761888217,0.15706527906528833,0.0017920867460511042,0.017827391113494233,1.5957744442989956,0.26481692034646476,0.5085107761888217,0.15706527906528833,0.26481692034646476,0.26481692034646476,0.26481692034646476,0.26481692034646476,linear_ridge
5,0.012620921561998935,0.03731111111077612,0.3382617452620913,0.5972222222222222,1.0,144,0.0,5,29,29,1.0,0.015559946373972918,0.036220330653874755,3.049797144554593,0.6206896551724138,0.5370615282111229,1.1108458631039286,0.04736978965446714,0.015559946373972918,0.036220330653874755,3.049797144554593,0.5370615282111229,1.1108458631039286,0.04736978965446714,0.013408753521145834,0.03816363078156374,2.525064913908813,0.5970443349753694,1.0,28.8,0.43952012522888084,0.8931676108757275,0.07428476350919436,0.013408753521145834,0.03816363078156374,2.525064913908813,0.43952012522888084,0.8931676108757275,0.07428476350919436,0.36081657853970084,0.5370615282111229,0.36081657853970084,0.5370615282111229,linear_ridge
